Chaperone_Name,Chaperone_ID,Target_ID,Source
DNJA2_HUMAN,O60884,Q8TB24,IntAct
DNJA2_HUMAN,O60884,Q13885,IntAct
DNJA2_HUMAN,O60884,Q9BSJ5,IntAct
DNJA2_HUMAN,O60884,P11362,IntAct
DNJA2_HUMAN,O60884,Q14249,IntAct
DNJA2_HUMAN,O60884,Q9NV06,IntAct
DNJA2_HUMAN,O60884,P46734,IntAct
DNJA2_HUMAN,O60884,Q9Y251,IntAct
DNJA2_HUMAN,O60884,Q96I59,IntAct
DNJA2_HUMAN,O60884,P04629,IntAct
DNJA2_HUMAN,O60884,Q16288,IntAct
DNJA2_HUMAN,O60884,O95707,IntAct
DNJA2_HUMAN,O60884,Q8WUA4,IntAct
DNJA2_HUMAN,O60884,Q9UG01,IntAct
DNJA2_HUMAN,O60884,P22612,IntAct
DNJA2_HUMAN,O60884,O75419,IntAct
DNJA2_HUMAN,O60884,P59633,IntAct
DNJA2_HUMAN,O60884,Q9BUK6,IntAct
DNJA2_HUMAN,O60884,Q01968,IntAct
DNJA2_HUMAN,O60884,Q15811,IntAct
DNJA2_HUMAN,O60884,P03427,IntAct
DNJA2_HUMAN,O60884,P54098,IntAct
DNJA2_HUMAN,O60884,Q96HI0,IntAct
DNJA2_HUMAN,O60884,Q6ZNJ1,IntAct
DNJA2_HUMAN,O60884,Q96P20,IntAct
DNJA2_HUMAN,O60884,Q13153,IntAct
DNJA2_HUMAN,O60884,O14649,IntAct
DNJA2_HUMAN,O60884,P10398,IntAct
DNJA2_HUMAN,O60884,Q9P2S5,IntAct
DNJA2_HUMAN,O60884,Q9Y4C2,IntAct
DNJA2_HUMAN,O60884,O14654,IntAct
DNJA2_HUMAN,O60884,P63172,IntAct
DNJA2_HUMAN,O60884,A0A142I5B9,IntAct
DNJA2_HUMAN,O60884,Q8JPQ9,IntAct
DNJA2_HUMAN,O60884,Q9H1I8,IntAct
DNJA2_HUMAN,O60884,Q9NVH6,IntAct
DNJA2_HUMAN,O60884,Q9Y266,IntAct
DNJA2_HUMAN,O60884,P08069,IntAct
DNJA2_HUMAN,O60884,Q9UPZ3,IntAct
DNJA2_HUMAN,O60884,O14976,IntAct
DNJA2_HUMAN,O60884,Q9BY84,IntAct
DNJA2_HUMAN,O60884,P33151,IntAct
DNJA2_HUMAN,O60884,Q06787,IntAct
DNJA2_HUMAN,O60884,Q9H4B7,IntAct
DNJA2_HUMAN,O60884,Q9H9B4,IntAct
DNJA2_HUMAN,O60884,Q15077,IntAct
DNJA2_HUMAN,O60884,P30530,IntAct
DNJA2_HUMAN,O60884,Q9C0B7,IntAct
DNJA2_HUMAN,O60884,P29353,IntAct
DNJA2_HUMAN,O60884,Q9D7K2,IntAct
DNJA2_HUMAN,O60884,Q9BUR4,IntAct
DNJA2_HUMAN,O60884,P35869,IntAct
DNJA2_HUMAN,O60884,O75746,IntAct
DNJA2_HUMAN,O60884,Q6EMB2,IntAct
DNJA2_HUMAN,O60884,Q1EHW4,IntAct
DNJA2_HUMAN,O60884,O43542,IntAct
DNJA2_HUMAN,O60884,P00533,IntAct
DNJA2_HUMAN,O60884,Q8N3C0,IntAct
DNJA2_HUMAN,O60884,Q4JQW6,IntAct
DNJA2_HUMAN,O60884,P51530,IntAct
DNJA2_HUMAN,O60884,Q4ZG55,IntAct
DNJA2_HUMAN,O60884,Q13547,IntAct
DNJA2_HUMAN,O60884,Q9H967,IntAct
DNJA2_HUMAN,O60884,Q9BZL6,IntAct
DNJA2_HUMAN,O60884,Q9BQE3,IntAct
DNJA2_HUMAN,O60884,O60469,IntAct
DNJA2_HUMAN,O60884,P22455,IntAct
DNJA2_HUMAN,O60884,Q13618,IntAct
DNJA2_HUMAN,O60884,Q15796,IntAct
DNJA2_HUMAN,O60884,Q9H223,IntAct
DNJA2_HUMAN,O60884,Q12788,IntAct
DNJA2_HUMAN,O60884,Q9H1R3,IntAct
DNJA2_HUMAN,O60884,Q8IWF6,IntAct
DNJA2_HUMAN,O60884,Q9BWM7,IntAct
DNJA2_HUMAN,O60884,Q86V97,IntAct
DNJA2_HUMAN,O60884,Q9UFC0,IntAct
DNJA2_HUMAN,O60884,Q0P651,IntAct
DNJA2_HUMAN,O60884,Q9CWW7,IntAct
DNJA2_HUMAN,O60884,Q6NSI4,IntAct
DNJA2_HUMAN,O60884,Q8IWL3,IntAct
DNJA2_HUMAN,O60884,P31689,IntAct
DNJA2_HUMAN,O60884,Q05BV3,IntAct
DNJA2_HUMAN,O60884,Q9H6U6,IntAct
DNJA2_HUMAN,O60884,Q9GZQ8,IntAct
DNJA2_HUMAN,O60884,P46013,IntAct
DNJA2_HUMAN,O60884,Q13418,IntAct
DNJA2_HUMAN,O60884,P08559,IntAct
DNJA2_HUMAN,O60884,Q4G176,IntAct
DNJA2_HUMAN,O60884,Q9Y6N5,IntAct
DNJA2_HUMAN,O60884,P07949,IntAct
DNJA2_HUMAN,O60884,P0DOF2,IntAct
DNJA2_HUMAN,O60884,Q8TD19,IntAct
DNJA2_HUMAN,O60884,Q96DB2,IntAct
DNJA2_HUMAN,O60884,Q3ZCM7,IntAct
DNJA2_HUMAN,O60884,P68372,IntAct
DNJA2_HUMAN,O60884,Q92905,IntAct
DNJA2_HUMAN,O60884,Q8WV16,IntAct
DNJA2_HUMAN,O60884,Q9UNY4,IntAct
DNJA2_HUMAN,O60884,Q6P1M3,IntAct
DNJA2_HUMAN,O60884,P60842,IntAct
DNJA2_HUMAN,O60884,P19419,IntAct
DNJA2_HUMAN,O60884,O14939,IntAct
DNJA2_HUMAN,O60884,P99024,IntAct
DNJA2_HUMAN,O60884,P19447,IntAct
DNJA2_HUMAN,O60884,Q9P2K8,IntAct
DNJA2_HUMAN,O60884,P51617,IntAct
DNJA2_HUMAN,O60884,P04049,IntAct
DNJA2_HUMAN,O60884,Q14689,IntAct
DNJA2_HUMAN,O60884,P62829,IntAct
DNJA2_HUMAN,O60884,Q13363,IntAct
DNJA2_HUMAN,O60884,Q13033,IntAct
DNJA2_HUMAN,O60884,O75807,IntAct
DNJA3_HUMAN,Q96EY1,P19438,IntAct
DNJA3_HUMAN,Q96EY1,Q16659,IntAct
DNJA3_HUMAN,Q96EY1,P60953,IntAct
DNJA3_HUMAN,Q96EY1,Q9Y2D8,IntAct
DNJA3_HUMAN,Q96EY1,P10809,IntAct
DNJA3_HUMAN,Q96EY1,P24158,IntAct
DNJA3_HUMAN,Q96EY1,Q9BVQ7,IntAct
DNJA3_HUMAN,Q96EY1,Q969Z0,IntAct
DNJA3_HUMAN,Q96EY1,Q99558,IntAct
DNJA3_HUMAN,Q96EY1,Q9Y242,IntAct
DNJA3_HUMAN,Q96EY1,P08581,IntAct
DNJA3_HUMAN,Q96EY1,Q15256,IntAct
DNJA3_HUMAN,Q96EY1,Q9UHD4,IntAct
DNJA3_HUMAN,Q96EY1,Q6ZMQ8,IntAct
DNJA3_HUMAN,Q96EY1,P51692,IntAct
DNJA3_HUMAN,Q96EY1,Q676U5,IntAct
DNJA3_HUMAN,Q96EY1,O75164,IntAct
DNJA3_HUMAN,Q96EY1,Q77M19,IntAct
DNJA3_HUMAN,Q96EY1,P54253,IntAct
DNJA3_HUMAN,Q96EY1,P83110,IntAct
DNJA3_HUMAN,Q96EY1,Q7L5A3,IntAct
DNJA3_HUMAN,Q96EY1,Q04206,IntAct
DNJA3_HUMAN,Q96EY1,P0DTC7,IntAct
DNJA3_HUMAN,Q96EY1,P29376,IntAct
DNJA3_HUMAN,Q96EY1,P57078,IntAct
DNJA3_HUMAN,Q96EY1,Q96HA8,IntAct
DNJA3_HUMAN,Q96EY1,Q7TSJ6,IntAct
DNJA3_HUMAN,Q96EY1,P06241,IntAct
DNJA3_HUMAN,Q96EY1,Q9NYY8,IntAct
DNJA3_HUMAN,Q96EY1,O43504,IntAct
DNJA3_HUMAN,Q96EY1,Q96AQ9,IntAct
DNJA3_HUMAN,Q96EY1,Q13509,IntAct
DNJA3_HUMAN,Q96EY1,P22607,IntAct
DNJA3_HUMAN,Q96EY1,P43250,IntAct
DNJA3_HUMAN,Q96EY1,O14880,IntAct
DNJA3_HUMAN,Q96EY1,P13569,IntAct
DNJA3_HUMAN,Q96EY1,P69479,IntAct
DNJA3_HUMAN,Q96EY1,P35226,IntAct
DNJA3_HUMAN,Q96EY1,P04626,IntAct
DNJA3_HUMAN,Q96EY1,O75161,IntAct
DNJA3_HUMAN,Q96EY1,Q93009,IntAct
DNJA3_HUMAN,Q96EY1,Q93034,IntAct
DNJA3_HUMAN,Q96EY1,P26447,IntAct
DNJA3_HUMAN,Q96EY1,P62993,IntAct
DNJA3_HUMAN,Q96EY1,Q4JQX1,IntAct
DNJA3_HUMAN,Q96EY1,Q9BVS5,IntAct
